Probe,SMILES,pKd
1,CN(C)C(C=C1)=CC=C1/C=C/C2=CC=[N+](C)C=C2,5.71
8,CN(C)C1=CC=C(/C=C/C(C=C(/C=C/C=C2N(CC)C3=C(C=CC=C3)C/2(C)C)O4)=[O+][B-]4(F)F)C=C1,7.12
10b,CN(C)C1=CN=C(C2=NC=C(/C=C/C=C(C#N)/C#N)C=C2)C=N1,7.44
RA-2,O=C(C(C1=CC=CC=C1)=C/2C3=CC=C(S(C)(=O)=O)C=C3)OC2=C/C4=CC=C(N(CC)CC)C=C4,6.72
8c,CN(C)C1=CC=C(/C=C/C2=[O+][B-](F)(F)OC(/C=C/C3=CC=CC(B(O)O)=C3)=C2)C=C1,6.59
BAOP-23,CC1=CC(C2=CC=CC=C2)=C3N1[B-](C#N)(C#N)[N+]4=C(/C=C/C5=CC=C(N(CCO)C)C=C5)C=C(C6=CC=CC=C6)C4=C3C,7.49
PHTZ-4,O=C(N(CC(O)=O)CC(O)=O)CN(C(S/1)=S)C(C1=C/C2=CC3=C(C=C2)N(C)C4=CC=CC=C4S3)=O,7.12
ZT-1,ClC1=C(/C=C(C(C(C)(C)C)=O)/C#N)CCC/C1=C\C=C2C(C)(C)C3=CC=CC=C3N/2CC,6.35
C25,CN(C)C1=CC=C(/C=C2N=C(/C=C/C3=CC4=C(N=CC=C4)C=C3)N(CCCN5CCOCC5)C\2=O)C=C1,6.72
PHTZ-1,O=C(OCC1COC(C)(C)O1)CN(C(S/2)=S)C(C2=C/C3=CC4=C(C=C3)N(C)C5=CC=CC=C5S4)=O,7.61
3e,OC(C=CC(/C=C/C1=CC=C(/C=C/C2=CC=C(C=C2)O)C3=NSN=C31)=C4)=C4O,7.51
TAMAOP-10,CC(C)C/[N+](CC(C)C)=C(C=C/1)\C=CC1=C(C2=CC=C(N(C)C)C=C2)\C3=CC=C(N(CC(C)C)CC(C)C)C=C3,7.75
BAOP-1,CC(C=C1C)=C2N1[B-](F)(F)[N+]3=C(/C=C/C4=CC=C(N(C)C)C=C4)C=C(C)C3=C2,7.08
DCIP-1,CC(C1)(C)C/C(C=C1/C=C/C2=CC=C(N(C)C)C=C2)=C(C#N)\C#N,6.17
FB,OCCN(C(/C=C/C1=CC=C(N(C)C)C=C1)=C/2)C3=CC=CC=C3C2=C(C#N)/C#N,7.32
Q21,C[N+](C(C=CC(Br)=C1)=C1S2)=C2/C=C/C3=CC=C(N(C4=CC=CC=C4)C5=CC=CC=C5)C=C3,6.41
HY1,FC1=CC=C(N2CCOCCOC)C(C3=C2C=CC(/C=C/C4=CC=[N+](CC5=CC=C(B6OC(C)(C)C(C)(C)O6)C=C5)C7=C4C=CC=C7)=C3)=C1,5.57
TZ096,O=C(C(C(OCC)=O)=C1)OC2=C1C=CC(/C=C/C3=CC=C(N(C)C)C=C3)=C2,7.18
PTO-29,CCC1=CC=C(C=C1)C2=C(/C=C/C=C/C(C=C3)=CC=C3N(C)C)O[B-](F)(F)[O+]=C2C4CC4,5.57
1Cc,CN(C)C1=CC=C(C#CC2=CC=C(C#N)C=N2)C=C1,5.43
7a2,CN1C(C=CC(/C=C2C(N(CCC(OC(C)(C)C)=O)C(S/2)=S)=O)=C3)=C3SC4=CC=CC=C14,7.83
6b,CN(C)C1=CN=C(C2=CC=C(/C=C/C=C(C#N)/C#N)C=C2)C=N1,6.47
BAOP-11,F[B-]([N+]1=C(/C=C/C2=CC=C(N3CCC(CCO)CC3)C=C2)C=C(C)C1=C4)(F)N5C4=CC=C5,7.07
6,F[B-]1(F)OC(/C=C/C=C2N(C)C3=C(C=CC=C3)C/2(C)C)=CC(/C=C/C(C=C4)=CC(OC)=C4N(C)C)=[O+]1,7.87
YHY-1,CN(CCO)C1=CC=C(/C=C/C2=C/C(C=C(C)O2)=C(C#N)/C#N)C=C1,7.24
CRANAD-58,CCN(CC)C1=NC=C(/C=C/C2=CC(/C=C/C(C=C3)=CC=C3N(C)C)=[O+][B-](F)(F)O2)C=C1,7.87
AACA-3,O=C(OCCOCCOCCOC)/C(C#N)=C/C1=CC=C(C2=CC(C=CC(N3CCCCC3)=C4)=C4C=C2)N1C,5.64
37,CCC1=CC=C(C2=C(/C=C/C=C/C3=CC=C(N(CCO)CCC4)C4=C3)O[B-](F)(F)[O+]=C2C5CC5)C=C1,6.68
DANIR 22c,CN(C)C1=CC=C2C=C(C#CC#CC#C/C=C(C#N)/C#N)C=CC2=C1,7.25
16,O=C(OCCOCCOCCOC)/C(C#N)=C/C1=CC2=CC=C(NCCN3CCOCC3)C=C2C=C1,5.17
EUA-4,CC1=[N+]2[B-](F)(F)N3C(/C=C/C4=CC=C(N(C)C)C=C4)=CC(C)=C3C(COCCOCCOC)=C2C(C)=C1,7.31
CBD,CN(C)C1=CC=C(/C=C2N=C(/C=C/C3=CC=NC=C3)N(C)C\2=O)C=C1,7.29
QM-FN-SO3,CN(C)C(C=C1)=CC=C1C(S2)=CC=C2/C=C/C3=C/C(C4=CC=CC=C4N3CCCS(=O)([O-])=O)=C(C#N)\C#N,6.77
3h,OC1=CC=CC(/C=C/C2=CC=C(/C=C/C3=CC=CC(O)=C3)C4=NSN=C42)=C1,6.94
QSB,OC1=CC=C(/C=C/C2=C(N=CC=N3)C3=C(/C=C/C4=CC(C(O)=O)=C(O)C=C4)C=C2)C=C1C(O)=O,6.91
QM-SF-2,CN(C)C(C=C1)=CC2C1[N+](C)=C(/C=C/C3=CC=C(C4=CC=C(C(C)(C)C)C=C4)S3)C=C2,7.29
PP-BTA-4,CN(C)C1=CC=C2C(SC(/C=C/C=C/C=C(C#N)/C#N)=N2)=C1,7.4
2a,F[B-]1(F)[N+]2=C3C(C=CC=C3)=CC=C2N=C(C(C=C4)=CC=C4N(C)C)O1,8.32
TZ092,N=C(C(C#N)=C1)OC2=C1C=CC(/C=C/C3=CC=C(N(C)C)C=C3)=C2,6.56
NPBZ,CN(C)C1=CC=C(C2=CC=C(/C=C/C3=CC=[N+](CC4=CC=C(B5OC(C)(C)C(C)(C)O5)C=C4)C=C3)S2)C=C1,7.49
a,O=C(/C(C1)=C/C2=CC=C(N(C)C)C=C2)C3=C1C=C(OCC(F)(F)F)C=C3,6.7
QNO-AD-1,CN(C(C=C1)=CC=C1C(S2)=CC=C2/C=C/C3=NC4=CC=CC=C4N(C3=O)CCC)C,7.77
17,O=C(OCCOCCOCCOCCOC)/C(C#N)=C/C1=CC2=CC=C(N3CCCCC3)C=C2C=C1,5.8
QM-SF-5,CN(C)C(C=C1)=CC2C1[N+](C)=C(/C=C/C3=CC=C(C4=CC=C(C#N)C=C4)S3)C=C2,7.1
DANIR 8b,OCCN(C1=CC=C(C=C(/C=C/C=C(C#N)\C#N)C=C2)C2=C1)C,7.41
BAOP-14,F[B-]([N+]1=C(/C=C/C2=CC=C(N)C=C2)C=C(C)C1=C3)(F)N4C3=CC=C4,6.3
EUA-5,CN(C1=CC=C(C=C1)/C=C/C2=C(C=C3)[N+]([B-](F)(F)N4C(/C=C/C5=CC=C(N(C)C)C=C5)=CC=C42)=C3/C=C/C6=CC=C(N(C)C)C=C6)C,7.01
13a,CN(C)C1=CC=C2C(C=CC(/C=C(C#N)/C(OCCOCCOCCO)=O)=C2)=C1,6.59
B-SZ,CC(C=C1C)=C2N1[B-](F)(F)[N+]3=C(C)C(C4=NC(C=CC=C5)=C5S4)=C(C)C3=C2C6=CC=CC=C6,6.75
BAP-1,CN(C)C1=CC=C(/C=C/C2=CC(C)=C3N2[B-](F)(F)[N+]4=CC=CC4=C3)C=C1,7.36
BDI,F[B-]1(F)C2=CC(O)=CC=C2C=C3[N+]1=C(/C=C/C4=CC=C(N(C)C)C=C4)N(C)C3=O,7.07
P14,CC(C=C1/C=C/C2=CN=C(N(C)C)S2)=C3N1[B-](F)(F)[N+]4=C(C)C=C(C)C4=C3CCCO,7.11
8c,O=C(OCCOCCOCCOC)/C(C#N)=C/C1=CC=C(N(CC)CC)C=C1,5.32
TAMAOP-9,CC(C)C/[N+](CC(C)C)=C(C=C/1)\C=CC1=C(C2=CC=C(N(CC(C)C)CC(C)C)C=C2)\C3=CC=C(N(CC(C)C)CC(C)C)C=C3,7.4
PHTZ-2,O=C(OCC(O)CO)CN(C(S/1)=S)C(C1=C/C2=CC3=C(C=C2)N(C)C4=CC=CC=C4S3)=O,7.46
Q-OB,CC(CC(C=C(/C=C/C(C=CC1=N2)=CC1=CC=C2N(C)C)O3)=[O+][B-]3(F)F)C,5.25
RM-27,CC[N+]1=C(/C=C/C=C/C2=CC=C(N(C)C)C=C2)SC3=CC=CC=C31,7.03
