Probe,SMILES,pKd
12,CN1C2=CC=CC=C2SC3=C1C=CC(/C=C/C=C/C=C4SC(N(CCC(O)=O)C\4=O)=S)=C3,6.11
11a,CN(C)C1=CC=C2C(C=CC(/C=C(C#N)/C(OCCO)=O)=C2)=C1,6.84
TAU 2,F[B-]([N+]1=C(/C=C/C2=CC3=C(C=C(N(C)C)C=C3)C=C2)C=C(C)C1=C4)(F)N5C4=CC=C5,8.92
N-HTCP,CN(C)C1=CC=C(/C=C/C(C(C)(O)N/2)=C(C#N)C2=C(C#N)/C#N)C=C1,6.93
10c,CN(C)C1=CC=C2C(C=CC(/C=C/C=C/C=C(C#N)/C(OCCOCCOCCOC)=O)=C2)=C1,8.19
BAOP-19,CC1=CC(C2=CC=CC=C2)=C3N1[B-](C#N)(C#N)[N+]4=C(/C=C/C5=CC=C(N(CCO)C)C=C5)C=C(C6=CC=CC=C6)C4=C3,7.9
1a,CN(C)C1=CC=C(C2=CC=C(/C=C(C#N)\C#N)C=C2)C=C1,7.73
8b,CN(C)C1=CN=C(C2=NC=C(/C=C/C=C(C#N)/C#N)C=C2)C=C1,7.37
2Cd,CN(C)C1=CC=C(C2=CC=CN=C2)C=C1,5.01
Probe 17,CN(C)C1=CC=C2N=C(/C=C/C=C(C#N)\C#N)C=NC2=C1,6.88
2Ce,CN(C)C1=CC=C(C2=CC=C(C#N)N=C2)C=C1,5.59
BAP-4,CC1=C2N([B-](F)(F)[N+]3=CC=CC3C2)C(/C=C/C4=CC=C(C5=CC=C(N(C)C)C=C5)S4)=C1,7.57
BAOP-16,CC1=CC(C2=CC=CC=C2)=C3N1[B-](F)(F)[N+]4=C(/C=C/C5=CC=C(N(CCO)C)C=C5)C=C(C6=CC=CC=C6)C4=C3,7.8
1-Z,CN(CCF)C(C=C1)=CC=C1/C=C\C2=NC3=CC=CC=C3S2,7.38
compound 30,C[N+]1=C2CC/C(C(C2=C(C3=CC=CC=C13)N)=O)=C\C4=C(C=CC=C5)C5=CC=C4,4.8
probe 3,O=C(N(/C=C/C1=CC=C(N(C)C)C=C1)N=C2)C3=C2OC4=CC(/C=C(C#N)\C(O)=O)=CC=C4O3,6.46
5b,CN(C)C1=NC=C(C2=CC=C(/C=C/C=C(C#N)/C#N)C=C2)C=N1,6.72
4b,CN(C)C1=CC=C(C2=NC=C(/C=C/C=C(C#N)/C#N)C=C2)C=C1,8.07
8d,O=C(OCCOCCOCCOC)/C(C#N)=C/C1=CC=C(N(CCCC)CCCC)C=C1,5.36
4b2,ClC1=CC=C2SC(C=C(/C=C3C(N(CC(OC(C)(C)C)=O)C(S/3)=S)=O)C=C4)=C4N(C)C2=C1,6.93
2PmNO-2,CN(C)C1=CC=C(/C=C/C=C/C2=NC3=NC=CC=[N+]3[B-](F)(F)O2)C=C1,6.78
DMDAD-3,CN(C)C1=CC=C(C=C1)/C=C/C=C/C=C(C(CC(C)(C)C2)=O)\C2=O,6.19
PAD-2,CC(OC(/C=C/C=C/C1=CC=C(N(C)C)C=C1)=C/2)=CC2=C(C#N)/C#N,7.4
7d,CN(C)C1=CC=C2C(C=CC(/C=C/C=C/C=C/C=C(C#N)/C(OC)=O)=C2)=C1,8.09
DMP2,CN(C)C1=CC=C(C2=CC=C(/C=C/C3=[N+](C4=CC=CC5=CC=CC3=C45)C)S2)C=C1,7.38
1-E,CN(CCF)C(C=C1)=CC=C1/C=C/C2=NC3=CC=CC=C3S2,7.03
3a,C12=NSN=C1C(/C=C/C3=CC=CC=C3)=CC=C2/C=C/C4=CC=CC=C4,7.18
IRI-1,CN(C)C1=CC=C(C=C1)C2=CC=C(C=C3C#N)C(OC3=N)=C2,6.43
4-Z,CN1C2=CC=CC=C2N=C1/C=C\C3=CC=C(N(C)CCF)C=C3,6.55
