Probe,SMILES,pKd
200,CC(C)C/[N+](CC(C)C)=C(C=C/1)\C=CC1=C(C2=CC=C(N(C)C)C=C2)\C3=CC=C(N(CC(C)C)CC(C)C)C=C3,7.75
201,CC(C=C1C)=C2N1[B-](F)(F)[N+]3=C(/C=C/C4=CC=C(N(C)C)C=C4)C=C(C)C3=C2,7.08
202,CC(C1)(C)C/C(C=C1/C=C/C2=CC=C(N(C)C)C=C2)=C(C#N)\C#N,6.17
203,OCCN(C(/C=C/C1=CC=C(N(C)C)C=C1)=C/2)C3=CC=CC=C3C2=C(C#N)/C#N,7.32
204,C[N+](C(C=CC(Br)=C1)=C1S2)=C2/C=C/C3=CC=C(N(C4=CC=CC=C4)C5=CC=CC=C5)C=C3,6.41
205,FC1=CC=C(N2CCOCCOC)C(C3=C2C=CC(/C=C/C4=CC=[N+](CC5=CC=C(B6OC(C)(C)C(C)(C)O6)C=C5)C7=C4C=CC=C7)=C3)=C1,5.57
206,O=C(C(C(OCC)=O)=C1)OC2=C1C=CC(/C=C/C3=CC=C(N(C)C)C=C3)=C2,7.18
207,CCC1=CC=C(C=C1)C2=C(/C=C/C=C/C(C=C3)=CC=C3N(C)C)O[B-](F)(F)[O+]=C2C4CC4,5.57
208,CN(C)C1=CC=C(C#CC2=CC=C(C#N)C=N2)C=C1,5.43
209,CN1C(C=CC(/C=C2C(N(CCC(OC(C)(C)C)=O)C(S/2)=S)=O)=C3)=C3SC4=CC=CC=C14,7.83
210,CN(C)C1=CN=C(C2=CC=C(/C=C/C=C(C#N)/C#N)C=C2)C=N1,6.47
211,F[B-]([N+]1=C(/C=C/C2=CC=C(N3CCC(CCO)CC3)C=C2)C=C(C)C1=C4)(F)N5C4=CC=C5,7.07
212,F[B-]1(F)OC(/C=C/C=C2N(C)C3=C(C=CC=C3)C/2(C)C)=CC(/C=C/C(C=C4)=CC(OC)=C4N(C)C)=[O+]1,7.87
213,CN(CCO)C1=CC=C(/C=C/C2=C/C(C=C(C)O2)=C(C#N)/C#N)C=C1,7.24
214,CCN(CC)C1=NC=C(/C=C/C2=CC(/C=C/C(C=C3)=CC=C3N(C)C)=[O+][B-](F)(F)O2)C=C1,7.87
215,O=C(OCCOCCOCCOC)/C(C#N)=C/C1=CC=C(C2=CC(C=CC(N3CCCCC3)=C4)=C4C=C2)N1C,5.64
216,CCC1=CC=C(C2=C(/C=C/C=C/C3=CC=C(N(CCO)CCC4)C4=C3)O[B-](F)(F)[O+]=C2C5CC5)C=C1,6.68
217,CN(C)C1=CC=C2C=C(C#CC#CC#C/C=C(C#N)/C#N)C=CC2=C1,7.25
218,O=C(OCCOCCOCCOC)/C(C#N)=C/C1=CC2=CC=C(NCCN3CCOCC3)C=C2C=C1,5.17
219,CC1=[N+]2[B-](F)(F)N3C(/C=C/C4=CC=C(N(C)C)C=C4)=CC(C)=C3C(COCCOCCOC)=C2C(C)=C1,7.31
220,CN(C)C1=CC=C(/C=C2N=C(/C=C/C3=CC=NC=C3)N(C)C\2=O)C=C1,7.29
221,CN(C)C(C=C1)=CC=C1C(S2)=CC=C2/C=C/C3=C/C(C4=CC=CC=C4N3CCCS(=O)([O-])=O)=C(C#N)\C#N,6.77
222,OC1=CC=CC(/C=C/C2=CC=C(/C=C/C3=CC=CC(O)=C3)C4=NSN=C42)=C1,6.94
223,OC1=CC=C(/C=C/C2=C(N=CC=N3)C3=C(/C=C/C4=CC(C(O)=O)=C(O)C=C4)C=C2)C=C1C(O)=O,6.91
224,CN(C)C(C=C1)=CC2C1[N+](C)=C(/C=C/C3=CC=C(C4=CC=C(C(C)(C)C)C=C4)S3)C=C2,7.29
225,CN(C)C1=CC=C2C(SC(/C=C/C=C/C=C(C#N)/C#N)=N2)=C1,7.4
226,F[B-]1(F)[N+]2=C3C(C=CC=C3)=CC=C2N=C(C(C=C4)=CC=C4N(C)C)O1,8.32
227,N=C(C(C#N)=C1)OC2=C1C=CC(/C=C/C3=CC=C(N(C)C)C=C3)=C2,6.56
228,CN(C)C1=CC=C(C2=CC=C(/C=C/C3=CC=[N+](CC4=CC=C(B5OC(C)(C)C(C)(C)O5)C=C4)C=C3)S2)C=C1,7.49
229,O=C(/C(C1)=C/C2=CC=C(N(C)C)C=C2)C3=C1C=C(OCC(F)(F)F)C=C3,6.7
230,CN(C(C=C1)=CC=C1C(S2)=CC=C2/C=C/C3=NC4=CC=CC=C4N(C3=O)CCC)C,7.77
231,O=C(OCCOCCOCCOCCOC)/C(C#N)=C/C1=CC2=CC=C(N3CCCCC3)C=C2C=C1,5.8
232,CN(C)C(C=C1)=CC2C1[N+](C)=C(/C=C/C3=CC=C(C4=CC=C(C#N)C=C4)S3)C=C2,7.1
233,OCCN(C1=CC=C(C=C(/C=C/C=C(C#N)\C#N)C=C2)C2=C1)C,7.41
234,F[B-]([N+]1=C(/C=C/C2=CC=C(N)C=C2)C=C(C)C1=C3)(F)N4C3=CC=C4,6.3
235,CN(C1=CC=C(C=C1)/C=C/C2=C(C=C3)[N+]([B-](F)(F)N4C(/C=C/C5=CC=C(N(C)C)C=C5)=CC=C42)=C3/C=C/C6=CC=C(N(C)C)C=C6)C,7.01
236,CN(C)C1=CC=C2C(C=CC(/C=C(C#N)/C(OCCOCCOCCO)=O)=C2)=C1,6.59
237,CC(C=C1C)=C2N1[B-](F)(F)[N+]3=C(C)C(C4=NC(C=CC=C5)=C5S4)=C(C)C3=C2C6=CC=CC=C6,6.75
238,CN(C)C1=CC=C(/C=C/C2=CC(C)=C3N2[B-](F)(F)[N+]4=CC=CC4=C3)C=C1,7.36
239,F[B-]1(F)C2=CC(O)=CC=C2C=C3[N+]1=C(/C=C/C4=CC=C(N(C)C)C=C4)N(C)C3=O,7.07
240,CC(C=C1/C=C/C2=CN=C(N(C)C)S2)=C3N1[B-](F)(F)[N+]4=C(C)C=C(C)C4=C3CCCO,7.11
241,O=C(OCCOCCOCCOC)/C(C#N)=C/C1=CC=C(N(CC)CC)C=C1,5.32
242,CC(C)C/[N+](CC(C)C)=C(C=C/1)\C=CC1=C(C2=CC=C(N(CC(C)C)CC(C)C)C=C2)\C3=CC=C(N(CC(C)C)CC(C)C)C=C3,7.4
243,O=C(OCC(O)CO)CN(C(S/1)=S)C(C1=C/C2=CC3=C(C=C2)N(C)C4=CC=CC=C4S3)=O,7.46
244,CC(CC(C=C(/C=C/C(C=CC1=N2)=CC1=CC=C2N(C)C)O3)=[O+][B-]3(F)F)C,5.25
245,CC[N+]1=C(/C=C/C=C/C2=CC=C(N(C)C)C=C2)SC3=CC=CC=C31,7.03
