Probe,SMILES,pKd
96,FC(C(C1=CC(C=CC(N(CCO)CCO)=C2)=C2N1)=C(C(F)=C3C4=CC(C=CC(N(CCO)CCO)=C5)=C5N4)F)=C3F,7.79
97,O=C(OCCOCCOCCOC)/C(C#N)=C/C1=CC2=CC=C(NCN3CCOCC3)C=C2C=C1,4.86
98,CN(C1=CC=C(C=C1)/C=C/C2=C(C=C3)[N+]([B-](F)(F)N4C(/C=C/C5=CC=C(OC)C=C5)=CC=C42)=C3/C=C/C6=CC=C(OC)C=C6)C,6.49
99,CN(C)C1=CC=C(C2=CC=C(/C=C/C=C(C#N)/C#N)C=C2)N=C1,7.43
100,CN(C)C1=CC=C(/C=C/C2=[O+][B-](F)(F)OC(/C=C/C3=CC=C(O)C=C3)=C2)C=C1,7.04
101,C[N+](C(C=CC(Cl)=C1)=C1S2)=C2/C=C/C3=CC=C(N(C4=CC=CC=C4)C5=CC=CC=C5)C=C3,7.12
102,CC(C=C1C)=C2N1[B-](F)(F)[N+]3=C(/C=C/C4=CC=C(N(C)C)C=C4)C=CC3=C2,6.7
103,OC(C(F)(F)F)C1=CC=C(C2=CC(CC(C(F)(F)F)O)=C(C3=CC=C(C4=C(CC(O)C(F)(F)F)C=C(C5=CC=C(C(O)C(F)(F)F)S5)S4)S3)S2)S1,6.23
104,CN(C)C1=CC=C2C(C=CC(/C=C/C=C/C=C(C#N)/C(OCCOCCO)=O)=C2)=C1,7.29
105,CN(C)C1=CC=C2C(C=CC(/C=C/C=C(C#N)/C(OC)=O)=C2)=C1,7.4
106,CN(C)C(C=C1)=CC2C1[N+](C)=C(/C=C/C3=CC=C(C4=CC=C(OC)C=C4)S3)C=C2,6.68
107,CC(C1=CC=CC=C1N/2C)(C)C2=C/C=C3C(NCCC4=CNC5=C4C=CC=C5)=C(CCC/3)/C=C(C#N)\C#N,7.19
108,CN(C)C1=CC(OC)=C(/C=C/C=C/C=C(C#N)/C(OCC2=CC=CO2)=O)C(OC)=C1,5.99
109,CN(C)C1=CC=C(C2=CC=CC=N2)C=C1,5.12
110,CN(C)C1=CC=C(C#CC2=CC=C(C#N)N=C2)C=C1,6.15
111,CC1=C2N([B-](F)(F)[N+]3=CC=CC3C2)C(/C=C/C4=CC=C(N(C)C)O4)=C1,6.83
112,CN1C2=CC=CC=C2SC3=C1C=CC(/C=C/C=C/C=C4SC(N(CCC(OC(C)(C)C)=O)C\4=O)=S)=C3,6.03
113,OC1=CC(/C=C/C2=CC=C(C3=NSN=C32)/C=C/C4=CC=C(C=C4)O)=CC(O)=C1,7.14
114,OCCN(CC)C1=CC=C(C#CC2=CC=C(C#N)C=C2)C=C1,6.13
115,CN(C)C1=CC=C2C(C=CC(/C=C/C=C/C=C(C#N)/C(OCCO)=O)=C2)=C1,7.28
116,FCCN(CC)C1=CC=C(C#CC2=CC=C(C#N)C=N2)C=C1,6.17
117,CN(C)C(C=C1)=CC2C1[N+](C)=C(/C=C/C3=CC=C(C4=CC=CC=C4)S3)C=C2,7.25
118,CCC1(CC)C2=CC(/C=C/C3=CC=C(N(C)C)C=C3)=CC=C2C4=C1C=C(CCCOCCOCCOCC)C=C4,5.65
119,CN(C)C1=CC=C2C(C=CC(/C=C/C=C/C=C/C=C(C#N)/C(OCCOCCOC)=O)=C2)=C1,7.81
120,CC1=CC(C)=[N+]2C1=CC3=C(C)C=C(/C=C/C4=CC=C(NC(OC(C)(C)C)=O)C=C4)N3[B-]2(F)F,7.17
121,OC1=CC(OC)=C(/C=C/C2=[N+](C)C3=C(C=CC=C3)S2)C=C1,5.98
122,CC(N/1)(O)C(/C=C/C2=CC=C(C3=CC=C(N(C)C)C=C3)S2)=C(C#N)C1=C(C#N)/C#N,7.48
123,F[B-]1(F)OC(/C=C/C=C2N(CCOCCOCCO)C(C=CC=C3)=C3C/2(C)C)=CC(/C=C/C4=CC=C(N5CCOCC5)C=C4)=[O+]1,7.57
124,CN(C)C1=CC=C2C(C=CC(/C=C(C#N)/C(OCCOCCOC)=O)=C2)=C1,6.38
125,C[N+](C(C=CC=C1)=C1S2)=C2/C=C/C3=CC=C(N(C4=CC=CC=C4)C5=CC=CC=C5)C=C3,6.65
126,CN(C)C(C=C1)=CC=C1/C=C/C2=C/C(C(C=CC=C3)=C3O2)=C(C#N)/C#N,7.03
127,CN(C)C1=CC=C(C2=CC=C(/C=C/C3=[N+](C4=CC=CC5=CC=CC3=C45)CCOCCOC)S2)C=C1,6.55
128,CN(C)C(S1)=CC=C1/C=C/C2=CN=CC=N2,6.63
129,C[N+](C(C=CC=C1)=C1S2)=C2/C=C/C=C/C3=CC=C(N(C)C)C=C3,6.22
130,O=C(OCC(O)CO)/C(C#N)=C/C1=CC=C(N(C)C)C=C1,5.48
131,CC(C1=CC=CC=C1N/2C)(C)C2=C/C=C3C(NCCC4=CNC5=C4C=C(OC)C=C5)=C(CCC/3)/C=C(C#N)\C#N,7.21
132,CC(C)CC1=[O+][B-](F)(F)OC(/C=C/C2=CC(C=CC(N(C)C)=C3)=C3C=C2)=C1,9.21
133,O=C1O[B-]2(OC(/C=C/C3=CC=C(C=C3)N(C)C)=CC(/C=C/C4=CC=C(C=C4)N(C)C)=[O+]2)OC1=O,7.42
134,CN(C)C1=CC=C2C(C=CC(/C(C)=C(C#N)\C#N)=C2)=C1,5.32
135,CN(C)C1=CC=C(C=C1)/C=C/C=C/C=C(C(OC)=O)\C(OC)=O,6.19
136,CC1=CC(C)=[N+]2C1=C(CCCN(C3=CC=CC=C3)C)C4=C(C)C=C(C)N4[B-]2(F)F,8.46
137,COC1=CC=C(/C=C/C=C(/C=C/C(C#N)=C/C=C/C2=CC=C(C=C2)OC)C#N)C=C1,6.93
138,CN(C)C1=CC=C(/C=C/C=C/C=C/C=C(C#N)\C#N)S1,6.49
139,O=C(NCCOCCOCCOC)/C(C#N)=C/C1=CC2=CC=C(N3CCCCC3)C=C2C=C1,5.2
140,CC[N+]1=C(/C=C/C2=CC=C(N(C)CCO)C=C2)SC3=CC=CC=C31,6.76
141,CCN(CC)C1=CC=C(/C=C/C2=CC(/C=C/C3=CN=C(N(CC)CC)C=C3)=[O+][B-](F)(F)O2)C=N1,7.57
142,CC(C1)(C)C/C(C=C1/C=C/C2=CC=CC=C2OCCCNC(OC(C)(C)C)=O)=C(C#N)/C#N,7.2
143,CN(C)C1=CC=C2C(C=CC(/C=C/C=C/C=C(C#N)/C(OCCOC)=O)=C2)=C1,7.51
144,COC1=C(O)C=CC(/C=C/C(/C=C(/C=C/C2=CC=C(N(C)C)C=C2)O)=O)=C1,5.8
145,F[B-]([N+]1=C(/C=C/C2=CC=C(N3CC(O)C3)C=C2)C=C(C)C1=C4)(F)N5C4=CC=C5,6.64
146,CN(C)C1=CC=C(C2=CC3=C(C=C(C4=NC5=C(C=CC=C5)S4)C(O3)=N)C=C2)C=C1,5.42
147,CN(CCO)C1=CC=C(C#CC2=CC=C(/C=C(C#N)/C(OCC)=O)S2)C=C1,5.68
148,CN(C)C1=CC=C2C(C=CC(/C=C/C=C/C=C/C=C(C#N)/C(OCCOCCO)=O)=C2)=C1,8.14
149,CN1C2=CC=CC=C2SC3=C1C=CC(/C=C/C=C4SC(N(CCC(O)=O)C\4=O)=S)=C3,6.97
150,CCCCN(CCCC)C1=CC=C2C(C=CC(/C=C/C3=CC=[N+](CCO)C4=C3C=CC=C4)=C2)=C1,3.07
151,O=S(CCCN1C2=CC=CC=C2/C(C=C1/C=C/C3=CC=C(C=C3)N4CCCCC4)=C(C#N)/C#N)(O)=O,7.46
152,CN(CCO)C1=CC=C(/C=C/C(C=C(/C=C/C=C2N(C)C3=C(C=CC=C3)C/2(C)C)O4)=[O+][B-]4(F)F)C=C1,7.84
153,CN(CC1)CCN(CC(C=C(C=C2OC)/C=C/C(C=C3)=CC=C3/C=C/C(C=C4)=CC=C4N(C)C)=C2O)CCN1C,7.24
154,CC(C1=CC=CC=C1N/2C)(C)C2=C/C=C3C(NCCN4CCCC4)=C(CCC/3)/C=C(C#N)\C#N,7.23
155,COC1=CC=C(/C=C(/C=C/C(C#N)=C/C2=CC=C(C=C2)OC)C#N)C=C1,8.95
156,CN(C)C1=CC=C([N+](C)=C(/C=C/C2=CC=C(N3CCN(C)CC3)C=C2)C=C4)C4=C1,5.76
157,CC(C1=CC=CC=C1N/2C)(C)C2=C/C=C3C(NCCCC)=C(CCC/3)/C=C(C#N)\C#N,7.54
158,CN(C)C1=CC=C(C2=CC(OC(C(C(OCC)=O)=C3)=O)=C3C=C2)C=C1,7.18
159,CC(C1)(C)C/C(C=C1/C=C/C2=CC=C(N(C)C)C=C2OCCC)=C(C#N)/C#N,7.1
160,CN(C)C1=CC=C2C=C(C#CC#C/C=C(C#N)/C#N)C=CC2=C1,7.89
161,CN(C)C1=CC=C(C#CC2=CC=C(C#N)C=C2)C=C1,6.33
162,CN(C)C1=CC=C(C=C1)/C=C/C=C/C=C(C#N)\C(OC)=O,6.97
163,CC1=CC(C)=C2N1[B-](F)(F)[N+]3=C(C)C=C(C)C3=C2C4=CC=C(NC5=C(OCC)C(C5=O)=O)C=C4,4.93
164,OC(C=CC(/C=C/C1=CC=C(/C=C/C2=CC=C(C(O)=C2)O)C3=NSN=C13)=C4)=C4O,7.41
165,CN(C)C1=CC=C2SC3=C(N(C)C2=C1)C=CC(/C=C4C(N(CC(OC(C)(C)C)=O)C(S/4)=S)=O)=C3,6.62
166,CN(C)C(C=C1)=CC=C1/C=C/C=C/C2=C/C(C(C=CC=C3)=C3O2)=C(C#N)/C#N,7.58
167,ClC1=C(CCC/C1=C\C=C(C(C)(C)C2=CC=CC=C32)\N3C)/C=C(C#N)\C#N,7.23
168,O=C(OCCOCCOCCOC)/C(C#N)=C/C1=C(OC)C=C(N(C)C)C=C1,5.28
169,CN(C)C1=CC=C(/C=C/C2=CC=C(/C=C/C3=CC(OC)=C(O)C=C3)C=C2)C=C1,4.96
170,F[B-]1(F)OC(C2CCC2)=CC(/C=C/C3=CN(C4=CC=C(OCCCF)C=C4)N=C3C)=[O+]1,6.23
171,CN(C)C1=NC=C(C2=NC=C(/C=C/C=C(C#N)/C#N)C=C2)C=C1,7.85
172,F[B-]([N+]1=C(/C=C/C=C/C2=CC=C(N(C)C)C=C2)C=C(C)C1=C3)(F)N4C3=CC=C4,8.54
173,OCC[N+](C=C1)=C2C(C=CC=C2)=C1/C=C/C3=CC=C(N(CCCC)CCCC)C=C3,5.51
174,CN1C2=CC=CC=C2SC3=C1C=CC(/C=C/C=C/C=C4SC(N(CC(OC(C)(C)C)=O)C\4=O)=S)=C3,6.28
175,COC1=C(O)C=CC(/C=C/C(/C=C(/C=C/C2=CC=C(O)C(OC)=C2)O)=O)=C1,5.09
176,CC(C=C1C)=C2N1[B-](F)(F)[N+]3=C(C)C(C4=NC(C=CC=C5)=C5S4)=C(C)C3=C2C,6.81
177,N#C/C(C#N)=C1C2=CC=CC=C2N(CCCS(=O)(O)=O)C(/C=C/C3=CC=C4C(C=CC(N5CCCCC5)=C4)=C3)=C\1,7.04
178,CN(C)C1=CC=C2C(C=CC(/C=C/C=C(C#N)/C(OCCOCCOC)=O)=C2)=C1,7.4
179,C[N+]1=C(/C=C/C2=CC3=CC=C(C=C3OC2=O)N(CC)CC)SC4=C1C=CC=C4,7.23
180,F[B-]1(F)OC(/C=C/C2=CN=C(C=CC=C3)C3=C2)=CC(/C=C/C4=CC=C(N(C)C)C=C4)=[O+]1,7.1
181,O=C(OCCOCCOCCOC)/C(C#N)=C/C1=CC=C(C2=CC(C=CC(N3CCCCC3)=C4)=C4C=C2)O1,6.44
182,CN(C)C(C=C1)=CC=C1/C=C/C=C/C2=CN=C(C=CC=C3)C3=N2,7.11
183,CN(C)C1=NC=C(C2=NC=C(/C=C/C=C(C#N)/C#N)C=C2)C=N1,6.82
184,CC(C)C/[N+](CC(C)C)=C(C=C/1)\C=CC1=C(C2=CC=C(N(CC)CC)C=C2)\C3=CC=C(N(CC(C)C)CC(C)C)C=C3,7.56
185,O=C1N(CC2=CC=C(OCCF)C=C2)C3=CC=CC=C3/C1=C/C=C/C4=CC=C([N+]([O-])=O)C=C4,6.57
186,CC(C1=CC=CC=C1N/2C)(C)C2=C/C=C3C(NCCCN(C)C)=C(CCC/3)/C=C(C#N)\C#N,7.14
187,CN1C2=CC=CC=C2SC3=C1C=CC(/C=C/C=C/C4C(N(CC(OCC)=O)C(S4)=S)=O)=C3,7.99
188,CC1=CC=C([N+](C)=C(C2=CC(C=CC(N(C)C)=C3)=C3O2)S4)C4=C1,7.11
189,CN(C)C(C=C1)=CC=C1/C=C/C2=CC=[N+](C)C=C2,5.71
190,CN(C)C1=CC=C(/C=C/C(C=C(/C=C/C=C2N(CC)C3=C(C=CC=C3)C/2(C)C)O4)=[O+][B-]4(F)F)C=C1,7.12
191,CN(C)C1=CN=C(C2=NC=C(/C=C/C=C(C#N)/C#N)C=C2)C=N1,7.44
192,O=C(C(C1=CC=CC=C1)=C/2C3=CC=C(S(C)(=O)=O)C=C3)OC2=C/C4=CC=C(N(CC)CC)C=C4,6.72
193,CN(C)C1=CC=C(/C=C/C2=[O+][B-](F)(F)OC(/C=C/C3=CC=CC(B(O)O)=C3)=C2)C=C1,6.59
194,CC1=CC(C2=CC=CC=C2)=C3N1[B-](C#N)(C#N)[N+]4=C(/C=C/C5=CC=C(N(CCO)C)C=C5)C=C(C6=CC=CC=C6)C4=C3C,7.49
195,O=C(N(CC(O)=O)CC(O)=O)CN(C(S/1)=S)C(C1=C/C2=CC3=C(C=C2)N(C)C4=CC=CC=C4S3)=O,7.12
196,ClC1=C(/C=C(C(C(C)(C)C)=O)/C#N)CCC/C1=C\C=C2C(C)(C)C3=CC=CC=C3N/2CC,6.35
197,CN(C)C1=CC=C(/C=C2N=C(/C=C/C3=CC4=C(N=CC=C4)C=C3)N(CCCN5CCOCC5)C\2=O)C=C1,6.72
198,O=C(OCC1COC(C)(C)O1)CN(C(S/2)=S)C(C2=C/C3=CC4=C(C=C3)N(C)C5=CC=CC=C5S4)=O,7.61
199,OC(C=CC(/C=C/C1=CC=C(/C=C/C2=CC=C(C=C2)O)C3=NSN=C31)=C4)=C4O,7.51
